RtID,Airport,Destination,RouteCode
1,JFK International,Frankfurt Airport,RT001
2,Dallas/Fort Worth International,Toronto Pearson,RT002
3,JFK International,Singapore Changi,RT003
4,Dallas/Fort Worth International,Toronto Pearson,RT004
5,Denver International,Dubai International,RT005
6,Miami International,Paris Charles de Gaulle,RT006
7,Orlando International,Paris Charles de Gaulle,RT007
8,JFK International,Sydney Kingsford Smith,RT008
9,Orlando International,London Heathrow,RT009
10,Orlando International,Paris Charles de Gaulle,RT010
11,Hartsfield-Jackson Atlanta International,Sydney Kingsford Smith,RT011
12,Hartsfield-Jackson Atlanta International,Toronto Pearson,RT012
13,Orlando International,Singapore Changi,RT013
14,Los Angeles International,Sydney Kingsford Smith,RT014
15,Hartsfield-Jackson Atlanta International,Amsterdam Schiphol,RT015
16,Dallas/Fort Worth International,Hong Kong International,RT016
17,Miami International,Tokyo Narita,RT017
18,Chicago O'Hare,Tokyo Narita,RT018
19,Hartsfield-Jackson Atlanta International,Amsterdam Schiphol,RT019
20,Hartsfield-Jackson Atlanta International,Frankfurt Airport,RT020
21,Denver International,Amsterdam Schiphol,RT021
22,Miami International,Toronto Pearson,RT022
23,Dallas/Fort Worth International,Sydney Kingsford Smith,RT023
24,Chicago O'Hare,Hong Kong International,RT024
25,Orlando International,Hong Kong International,RT025
26,JFK International,Tokyo Narita,RT026
27,Hartsfield-Jackson Atlanta International,Toronto Pearson,RT027
28,Denver International,Frankfurt Airport,RT028
29,JFK International,Paris Charles de Gaulle,RT029
30,Orlando International,Hong Kong International,RT030
31,Hartsfield-Jackson Atlanta International,Dubai International,RT031
32,Seattle-Tacoma International,Sydney Kingsford Smith,RT032
33,Seattle-Tacoma International,Sydney Kingsford Smith,RT033
34,Denver International,Amsterdam Schiphol,RT034
35,Miami International,Paris Charles de Gaulle,RT035
36,Orlando International,Tokyo Narita,RT036
37,Hartsfield-Jackson Atlanta International,Amsterdam Schiphol,RT037
38,San Francisco International,Dubai International,RT038
39,Los Angeles International,Hong Kong International,RT039
40,San Francisco International,Frankfurt Airport,RT040
41,Chicago O'Hare,Frankfurt Airport,RT041
42,Los Angeles International,Toronto Pearson,RT042
43,Seattle-Tacoma International,Sydney Kingsford Smith,RT043
44,JFK International,Dubai International,RT044
45,San Francisco International,Tokyo Narita,RT045
46,Miami International,Paris Charles de Gaulle,RT046
47,Dallas/Fort Worth International,Toronto Pearson,RT047
48,Miami International,Amsterdam Schiphol,RT048
49,JFK International,Paris Charles de Gaulle,RT049
50,Denver International,Toronto Pearson,RT050
